User parsed;Speciality;Specialization;Hub;Skills;Workplace;Posts;Bookmark;Comments;Count
 ; ; ; ; ; ; ; ; ;1665355
+; ; ; ; ; ; ; ; ;1466403
 ;+; ; ; ; ; ; ; ;131010
+;+; ; ; ; ; ; ; ;118021
 ; ;+; ; ; ; ; ; ;55221
+; ;+; ; ; ; ; ; ;49094
 ;+;+; ; ; ; ; ; ;11777
+;+;+; ; ; ; ; ; ;11292
 ; ; ;+; ; ; ; ; ;830947
+; ; ;+; ; ; ; ; ;784293
 ;+; ;+; ; ; ; ; ;74870
+;+; ;+; ; ; ; ; ;73956
 ; ;+;+; ; ; ; ; ;37816
+; ;+;+; ; ; ; ; ;37331
 ;+;+;+; ; ; ; ; ;7972
+;+;+;+; ; ; ; ; ;7905
 ; ; ; ;+; ; ; ; ;42267
+; ; ; ;+; ; ; ; ;37408
 ;+; ; ;+; ; ; ; ;9335
+;+; ; ;+; ; ; ; ;8932
 ; ;+; ;+; ; ; ; ;38428
+; ;+; ;+; ; ; ; ;34660
 ;+;+; ;+; ; ; ; ;8834
+;+;+; ;+; ; ; ; ;8485
 ; ; ;+;+; ; ; ; ;30058
+; ; ;+;+; ; ; ; ;29671
 ;+; ;+;+; ; ; ; ;6527
+;+; ;+;+; ; ; ; ;6465
 ; ;+;+;+; ; ; ; ;27943
+; ;+;+;+; ; ; ; ;27600
 ;+;+;+;+; ; ; ; ;6182
+;+;+;+;+; ; ; ; ;6131
 ; ; ; ; ;+; ; ; ;7967
+; ; ; ; ;+; ; ; ;7370
 ;+; ; ; ;+; ; ; ;3915
+;+; ; ; ;+; ; ; ;3797
 ; ;+; ; ;+; ; ; ;822
+; ;+; ; ;+; ; ; ;789
 ;+;+; ; ;+; ; ; ;547
+;+;+; ; ;+; ; ; ;528
 ; ; ;+; ;+; ; ; ;4554
+; ; ;+; ;+; ; ; ;4525
 ;+; ;+; ;+; ; ; ;2407
+;+; ;+; ;+; ; ; ;2397
 ; ;+;+; ;+; ; ; ;524
+; ;+;+; ;+; ; ; ;521
 ;+;+;+; ;+; ; ; ;361
+;+;+;+; ;+; ; ; ;358
 ; ; ; ;+;+; ; ; ;529
+; ; ; ;+;+; ; ; ;500
 ;+; ; ;+;+; ; ; ;367
+;+; ; ;+;+; ; ; ;349
 ; ;+; ;+;+; ; ; ;506
+; ;+; ;+;+; ; ; ;485
 ;+;+; ;+;+; ; ; ;353
+;+;+; ;+;+; ; ; ;340
 ; ; ;+;+;+; ; ; ;360
+; ; ;+;+;+; ; ; ;357
 ;+; ;+;+;+; ; ; ;255
+;+; ;+;+;+; ; ; ;252
 ; ;+;+;+;+; ; ; ;347
+; ;+;+;+;+; ; ; ;344
 ;+;+;+;+;+; ; ; ;248
+;+;+;+;+;+; ; ; ;245
 ; ; ; ; ; ;+; ; ;50279
+; ; ; ; ; ;+; ; ;23803
 ;+; ; ; ; ;+; ; ;11289
+;+; ; ; ; ;+; ; ;10900
 ; ;+; ; ; ;+; ; ;1913
+; ;+; ; ; ;+; ; ;1850
 ;+;+; ; ; ;+; ; ;1285
+;+;+; ; ; ;+; ; ;1255
 ; ; ;+; ; ;+; ; ;19577
+; ; ;+; ; ;+; ; ;19427
 ;+; ;+; ; ;+; ; ;8497
+;+; ;+; ; ;+; ; ;8440
 ; ;+;+; ; ;+; ; ;1337
+; ;+;+; ; ;+; ; ;1327
 ;+;+;+; ; ;+; ; ;943
+;+;+;+; ; ;+; ; ;936
 ; ; ; ;+; ;+; ; ;1385
+; ; ; ;+; ;+; ; ;1327
 ;+; ; ;+; ;+; ; ;950
+;+; ; ;+; ;+; ; ;918
 ; ;+; ;+; ;+; ; ;1299
+; ;+; ;+; ;+; ; ;1250
 ;+;+; ;+; ;+; ; ;894
+;+;+; ;+; ;+; ; ;869
 ; ; ;+;+; ;+; ; ;1017
+; ; ;+;+; ;+; ; ;1005
 ;+; ;+;+; ;+; ; ;724
+;+; ;+;+; ;+; ; ;715
 ; ;+;+;+; ;+; ; ;946
+; ;+;+;+; ;+; ; ;937
 ;+;+;+;+; ;+; ; ;675
+;+;+;+;+; ;+; ; ;669
 ; ; ; ; ;+;+; ; ;2763
+; ; ; ; ;+;+; ; ;2667
 ;+; ; ; ;+;+; ; ;1760
+;+; ; ; ;+;+; ; ;1719
 ; ;+; ; ;+;+; ; ;296
+; ;+; ; ;+;+; ; ;286
 ;+;+; ; ;+;+; ; ;222
+;+;+; ; ;+;+; ; ;215
 ; ; ;+; ;+;+; ; ;1714
+; ; ;+; ;+;+; ; ;1708
 ;+; ;+; ;+;+; ; ;1115
+;+; ;+; ;+;+; ; ;1112
 ; ;+;+; ;+;+; ; ;181
+; ;+;+; ;+;+; ; ;180
 ;+;+;+; ;+;+; ; ;143
+;+;+;+; ;+;+; ; ;142
 ; ; ; ;+;+;+; ; ;185
+; ; ; ;+;+;+; ; ;176
 ;+; ; ;+;+;+; ; ;148
+;+; ; ;+;+;+; ; ;141
 ; ;+; ;+;+;+; ; ;180
+; ;+; ;+;+;+; ; ;173
 ;+;+; ;+;+;+; ; ;143
+;+;+; ;+;+;+; ; ;138
 ; ; ;+;+;+;+; ; ;119
+; ; ;+;+;+;+; ; ;118
 ;+; ;+;+;+;+; ; ;100
+;+; ;+;+;+;+; ; ;99
 ; ;+;+;+;+;+; ; ;116
+; ;+;+;+;+;+; ; ;115
 ;+;+;+;+;+;+; ; ;97
+;+;+;+;+;+;+; ; ;96
 ; ; ; ; ; ; ;+; ;320435
+; ; ; ; ; ; ;+; ;291819
 ;+; ; ; ; ; ;+; ;56111
+;+; ; ; ; ; ;+; ;54443
 ; ;+; ; ; ; ;+; ;16756
+; ;+; ; ; ; ;+; ;16290
 ;+;+; ; ; ; ;+; ;5276
+;+;+; ; ; ; ;+; ;5178
 ; ; ;+; ; ; ;+; ;220968
+; ; ;+; ; ; ;+; ;217457
 ;+; ;+; ; ; ;+; ;43527
+;+; ;+; ; ; ;+; ;43165
 ; ;+;+; ; ; ;+; ;13853
+; ;+;+; ; ; ;+; ;13738
 ;+;+;+; ; ; ;+; ;4295
+;+;+;+; ; ; ;+; ;4271
 ; ; ; ;+; ; ;+; ;12909
+; ; ; ;+; ; ;+; ;12533
 ;+; ; ;+; ; ;+; ;4176
+;+; ; ;+; ; ;+; ;4096
 ; ;+; ;+; ; ;+; ;11923
+; ;+; ;+; ; ;+; ;11596
 ;+;+; ;+; ; ;+; ;3927
+;+;+; ;+; ; ;+; ;3860
 ; ; ;+;+; ; ;+; ;10918
+; ; ;+;+; ; ;+; ;10818
 ;+; ;+;+; ; ;+; ;3450
+;+; ;+;+; ; ;+; ;3425
 ; ;+;+;+; ; ;+; ;10117
+; ;+;+;+; ; ;+; ;10029
 ;+;+;+;+; ; ;+; ;3238
+;+;+;+;+; ; ;+; ;3219
 ; ; ; ; ;+; ;+; ;4637
+; ; ; ; ;+; ;+; ;4541
 ;+; ; ; ;+; ;+; ;2691
+;+; ; ; ;+; ;+; ;2652
 ; ;+; ; ;+; ;+; ;504
+; ;+; ; ;+; ;+; ;492
 ;+;+; ; ;+; ;+; ;378
+;+;+; ; ;+; ;+; ;368
 ; ; ;+; ;+; ;+; ;3256
+; ; ;+; ;+; ;+; ;3236
 ;+; ;+; ;+; ;+; ;1881
+;+; ;+; ;+; ;+; ;1873
 ; ;+;+; ;+; ;+; ;365
+; ;+;+; ;+; ;+; ;362
 ;+;+;+; ;+; ;+; ;276
+;+;+;+; ;+; ;+; ;273
 ; ; ; ;+;+; ;+; ;328
+; ; ; ;+;+; ;+; ;318
 ;+; ; ;+;+; ;+; ;258
+;+; ; ;+;+; ;+; ;249
 ; ;+; ;+;+; ;+; ;313
+; ;+; ;+;+; ;+; ;305
 ;+;+; ;+;+; ;+; ;248
+;+;+; ;+;+; ;+; ;241
 ; ; ;+;+;+; ;+; ;248
+; ; ;+;+;+; ;+; ;245
 ;+; ;+;+;+; ;+; ;196
+;+; ;+;+;+; ;+; ;193
 ; ;+;+;+;+; ;+; ;236
+; ;+;+;+;+; ;+; ;233
 ;+;+;+;+;+; ;+; ;189
+;+;+;+;+;+; ;+; ;186
 ; ; ; ; ; ;+;+; ;17518
+; ; ; ; ; ;+;+; ;17124
 ;+; ; ; ; ;+;+; ;8416
+;+; ; ; ; ;+;+; ;8264
 ; ;+; ; ; ;+;+; ;1222
+; ;+; ; ; ;+;+; ;1205
 ;+;+; ; ; ;+;+; ;896
+;+;+; ; ; ;+;+; ;884
 ; ; ;+; ; ;+;+; ;15154
+; ; ;+; ; ;+;+; ;15059
 ;+; ;+; ; ;+;+; ;7020
+;+; ;+; ; ;+;+; ;6980
 ; ;+;+; ; ;+;+; ;959
+; ;+;+; ; ;+;+; ;954
 ;+;+;+; ; ;+;+; ;721
+;+;+;+; ; ;+;+; ;717
 ; ; ; ;+; ;+;+; ;887
+; ; ; ;+; ;+;+; ;872
 ;+; ; ;+; ;+;+; ;666
+;+; ; ;+; ;+;+; ;655
 ; ;+; ;+; ;+;+; ;825
+; ;+; ;+; ;+;+; ;813
 ;+;+; ;+; ;+;+; ;622
+;+;+; ;+; ;+;+; ;613
 ; ; ;+;+; ;+;+; ;719
+; ; ;+;+; ;+;+; ;713
 ;+; ;+;+; ;+;+; ;551
+;+; ;+;+; ;+;+; ;546
 ; ;+;+;+; ;+;+; ;662
+; ;+;+;+; ;+;+; ;657
 ;+;+;+;+; ;+;+; ;510
+;+;+;+;+; ;+;+; ;506
 ; ; ; ; ;+;+;+; ;1880
+; ; ; ; ;+;+;+; ;1848
 ;+; ; ; ;+;+;+; ;1268
+;+; ; ; ;+;+;+; ;1252
 ; ;+; ; ;+;+;+; ;202
+; ;+; ; ;+;+;+; ;196
 ;+;+; ; ;+;+;+; ;162
+;+;+; ; ;+;+;+; ;157
 ; ; ;+; ;+;+;+; ;1337
+; ; ;+; ;+;+;+; ;1333
 ;+; ;+; ;+;+;+; ;911
+;+; ;+; ;+;+;+; ;909
 ; ;+;+; ;+;+;+; ;142
+; ;+;+; ;+;+;+; ;141
 ;+;+;+; ;+;+;+; ;117
+;+;+;+; ;+;+;+; ;116
 ; ; ; ;+;+;+;+; ;125
+; ; ; ;+;+;+;+; ;121
 ;+; ; ;+;+;+;+; ;107
+;+; ; ;+;+;+;+; ;103
 ; ;+; ;+;+;+;+; ;121
+; ;+; ;+;+;+;+; ;118
 ;+;+; ;+;+;+;+; ;103
+;+;+; ;+;+;+;+; ;100
 ; ; ;+;+;+;+;+; ;92
+; ; ;+;+;+;+;+; ;91
 ;+; ;+;+;+;+;+; ;81
+;+; ;+;+;+;+;+; ;80
 ; ;+;+;+;+;+;+; ;89
+; ;+;+;+;+;+;+; ;88
 ;+;+;+;+;+;+;+; ;78
+;+;+;+;+;+;+;+; ;77
 ; ; ; ; ; ; ; ;+;168844
+; ; ; ; ; ; ; ;+;74904
 ;+; ; ; ; ; ; ;+;21907
+;+; ; ; ; ; ; ;+;21030
 ; ;+; ; ; ; ; ;+;4085
+; ;+; ; ; ; ; ;+;3910
 ;+;+; ; ; ; ; ;+;2088
+;+;+; ; ; ; ; ;+;2028
 ; ; ;+; ; ; ; ;+;57479
+; ; ;+; ; ; ; ;+;56904
 ;+; ;+; ; ; ; ;+;16703
+;+; ;+; ; ; ; ;+;16564
 ; ;+;+; ; ; ; ;+;3027
+; ;+;+; ; ; ; ;+;3005
 ;+;+;+; ; ; ; ;+;1626
+;+;+;+; ; ; ; ;+;1614
 ; ; ; ;+; ; ; ;+;3028
+; ; ; ;+; ; ; ;+;2892
 ;+; ; ;+; ; ; ;+;1592
+;+; ; ;+; ; ; ;+;1542
 ; ;+; ;+; ; ; ;+;2796
+; ;+; ;+; ; ; ;+;2677
 ;+;+; ;+; ; ; ;+;1487
+;+;+; ;+; ; ; ;+;1446
 ; ; ;+;+; ; ; ;+;2332
+; ; ;+;+; ; ; ;+;2311
 ;+; ;+;+; ; ; ;+;1270
+;+; ;+;+; ; ; ;+;1257
 ; ;+;+;+; ; ; ;+;2153
+; ;+;+;+; ; ; ;+;2136
 ;+;+;+;+; ; ; ;+;1176
+;+;+;+;+; ; ; ;+;1167
 ; ; ; ; ;+; ; ;+;2944
+; ; ; ; ;+; ; ;+;2860
 ;+; ; ; ;+; ; ;+;1773
+;+; ; ; ;+; ; ;+;1732
 ; ;+; ; ;+; ; ;+;302
+; ;+; ; ;+; ; ;+;293
 ;+;+; ; ;+; ; ;+;226
+;+;+; ; ;+; ; ;+;221
 ; ; ;+; ;+; ; ;+;1986
+; ; ;+; ;+; ; ;+;1977
 ;+; ;+; ;+; ; ;+;1190
+;+; ;+; ;+; ; ;+;1186
 ; ;+;+; ;+; ; ;+;198
+; ;+;+; ;+; ; ;+;196
 ;+;+;+; ;+; ; ;+;160
+;+;+;+; ;+; ; ;+;158
 ; ; ; ;+;+; ; ;+;196
+; ; ; ;+;+; ; ;+;187
 ;+; ; ;+;+; ; ;+;154
+;+; ; ;+;+; ; ;+;148
 ; ;+; ;+;+; ; ;+;191
+; ;+; ;+;+; ; ;+;184
 ;+;+; ;+;+; ; ;+;149
+;+;+; ;+;+; ; ;+;145
 ; ; ;+;+;+; ; ;+;134
+; ; ;+;+;+; ; ;+;132
 ;+; ;+;+;+; ; ;+;112
+;+; ;+;+;+; ; ;+;110
 ; ;+;+;+;+; ; ;+;131
+; ;+;+;+;+; ; ;+;129
 ;+;+;+;+;+; ; ;+;109
+;+;+;+;+;+; ; ;+;107
 ; ; ; ; ; ;+; ;+;29880
+; ; ; ; ; ;+; ;+;21891
 ;+; ; ; ; ;+; ;+;10412
+;+; ; ; ; ;+; ;+;10106
 ; ;+; ; ; ;+; ;+;1612
+; ;+; ; ; ;+; ;+;1568
 ;+;+; ; ; ;+; ;+;1131
+;+;+; ; ; ;+; ;+;1109
 ; ; ;+; ; ;+; ;+;18528
+; ; ;+; ; ;+; ;+;18397
 ;+; ;+; ; ;+; ;+;8088
+;+; ;+; ; ;+; ;+;8039
 ; ;+;+; ; ;+; ;+;1179
+; ;+;+; ; ;+; ;+;1171
 ;+;+;+; ; ;+; ;+;871
+;+;+;+; ; ;+; ;+;865
 ; ; ; ;+; ;+; ;+;1193
+; ; ; ;+; ;+; ;+;1152
 ;+; ; ;+; ;+; ;+;851
+;+; ; ;+; ;+; ;+;827
 ; ;+; ;+; ;+; ;+;1112
+; ;+; ;+; ;+; ;+;1079
 ;+;+; ;+; ;+; ;+;798
+;+;+; ;+; ;+; ;+;780
 ; ; ;+;+; ;+; ;+;905
+; ; ;+;+; ;+; ;+;896
 ;+; ;+;+; ;+; ;+;670
+;+; ;+;+; ;+; ;+;663
 ; ;+;+;+; ;+; ;+;838
+; ;+;+;+; ;+; ;+;831
 ;+;+;+;+; ;+; ;+;624
+;+;+;+;+; ;+; ;+;619
 ; ; ; ; ;+;+; ;+;2395
+; ; ; ; ;+;+; ;+;2332
 ;+; ; ; ;+;+; ;+;1573
+;+; ; ; ;+;+; ;+;1539
 ; ;+; ; ;+;+; ;+;247
+; ;+; ; ;+;+; ;+;240
 ;+;+; ; ;+;+; ;+;194
+;+;+; ; ;+;+; ;+;190
 ; ; ;+; ;+;+; ;+;1572
+; ; ;+; ;+;+; ;+;1566
 ;+; ;+; ;+;+; ;+;1039
+;+; ;+; ;+;+; ;+;1036
 ; ;+;+; ;+;+; ;+;161
+; ;+;+; ;+;+; ;+;160
 ;+;+;+; ;+;+; ;+;136
+;+;+;+; ;+;+; ;+;135
 ; ; ; ;+;+;+; ;+;159
+; ; ; ;+;+;+; ;+;152
 ;+; ; ;+;+;+; ;+;132
+;+; ; ;+;+;+; ;+;127
 ; ;+; ;+;+;+; ;+;154
+; ;+; ;+;+;+; ;+;149
 ;+;+; ;+;+;+; ;+;127
+;+;+; ;+;+;+; ;+;124
 ; ; ;+;+;+;+; ;+;109
+; ; ;+;+;+;+; ;+;108
 ;+; ;+;+;+;+; ;+;95
+;+; ;+;+;+;+; ;+;94
 ; ;+;+;+;+;+; ;+;106
+; ;+;+;+;+;+; ;+;105
 ;+;+;+;+;+;+; ;+;92
+;+;+;+;+;+;+; ;+;91
 ; ; ; ; ; ; ;+;+;43470
+; ; ; ; ; ; ;+;+;42279
 ;+; ; ; ; ; ;+;+;15135
+;+; ; ; ; ; ;+;+;14826
 ; ;+; ; ; ; ;+;+;2401
+; ;+; ; ; ; ;+;+;2360
 ;+;+; ; ; ; ;+;+;1453
+;+;+; ; ; ; ;+;+;1428
 ; ; ;+; ; ; ;+;+;37027
+; ; ;+; ; ; ;+;+;36787
 ;+; ;+; ; ; ;+;+;12789
+;+; ;+; ; ; ;+;+;12705
 ; ;+;+; ; ; ;+;+;1994
+; ;+;+; ; ; ;+;+;1985
 ;+;+;+; ; ; ;+;+;1223
+;+;+;+; ; ; ;+;+;1217
 ; ; ; ;+; ; ;+;+;1786
+; ; ; ;+; ; ;+;+;1754
 ;+; ; ;+; ; ;+;+;1110
+;+; ; ;+; ; ;+;+;1090
 ; ;+; ;+; ; ;+;+;1642
+; ;+; ;+; ; ;+;+;1615
 ;+;+; ;+; ; ;+;+;1031
+;+;+; ;+; ; ;+;+;1013
 ; ; ;+;+; ; ;+;+;1515
+; ; ;+;+; ; ;+;+;1507
 ;+; ;+;+; ; ;+;+;949
+;+; ;+;+; ; ;+;+;942
 ; ;+;+;+; ; ;+;+;1391
+; ;+;+;+; ; ;+;+;1384
 ;+;+;+;+; ; ;+;+;876
+;+;+;+;+; ; ;+;+;870
 ; ; ; ; ;+; ;+;+;2085
+; ; ; ; ;+; ;+;+;2045
 ;+; ; ; ;+; ;+;+;1310
+;+; ; ; ;+; ;+;+;1292
 ; ;+; ; ;+; ;+;+;209
+; ;+; ; ;+; ;+;+;203
 ;+;+; ; ;+; ;+;+;170
+;+;+; ; ;+; ;+;+;165
 ; ; ;+; ;+; ;+;+;1565
+; ; ;+; ;+; ;+;+;1558
 ;+; ;+; ;+; ;+;+;977
+;+; ;+; ;+; ;+;+;974
 ; ;+;+; ;+; ;+;+;160
+; ;+;+; ;+; ;+;+;158
 ;+;+;+; ;+; ;+;+;133
+;+;+;+; ;+; ;+;+;131
 ; ; ; ;+;+; ;+;+;136
+; ; ; ;+;+; ;+;+;131
 ;+; ; ;+;+; ;+;+;116
+;+; ; ;+;+; ;+;+;111
 ; ;+; ;+;+; ;+;+;132
+; ;+; ;+;+; ;+;+;128
 ;+;+; ;+;+; ;+;+;112
+;+;+; ;+;+; ;+;+;108
 ; ; ;+;+;+; ;+;+;108
+; ; ;+;+;+; ;+;+;106
 ;+; ;+;+;+; ;+;+;93
+;+; ;+;+;+; ;+;+;91
 ; ;+;+;+;+; ;+;+;105
+; ;+;+;+;+; ;+;+;103
 ;+;+;+;+;+; ;+;+;90
+;+;+;+;+;+; ;+;+;88
 ; ; ; ; ; ;+;+;+;16686
+; ; ; ; ; ;+;+;+;16370
 ;+; ; ; ; ;+;+;+;8032
+;+; ; ; ; ;+;+;+;7910
 ; ;+; ; ; ;+;+;+;1094
+; ;+; ; ; ;+;+;+;1079
 ;+;+; ; ; ;+;+;+;823
+;+;+; ; ; ;+;+;+;812
 ; ; ;+; ; ;+;+;+;14674
+; ; ;+; ; ;+;+;+;14588
 ;+; ;+; ; ;+;+;+;6797
+;+; ;+; ; ;+;+;+;6762
 ; ;+;+; ; ;+;+;+;880
+; ;+;+; ; ;+;+;+;875
 ;+;+;+; ; ;+;+;+;677
+;+;+;+; ; ;+;+;+;673
 ; ; ; ;+; ;+;+;+;811
+; ; ; ;+; ;+;+;+;798
 ;+; ; ;+; ;+;+;+;620
+;+; ; ;+; ;+;+;+;610
 ; ;+; ;+; ;+;+;+;750
+; ;+; ;+; ;+;+;+;739
 ;+;+; ;+; ;+;+;+;577
+;+;+; ;+; ;+;+;+;568
 ; ; ;+;+; ;+;+;+;667
+; ; ;+;+; ;+;+;+;662
 ;+; ;+;+; ;+;+;+;519
+;+; ;+;+; ;+;+;+;515
 ; ;+;+;+; ;+;+;+;611
+; ;+;+;+; ;+;+;+;606
 ;+;+;+;+; ;+;+;+;479
+;+;+;+;+; ;+;+;+;475
 ; ; ; ; ;+;+;+;+;1716
+; ; ; ; ;+;+;+;+;1687
 ;+; ; ; ;+;+;+;+;1175
+;+; ; ; ;+;+;+;+;1160
 ; ;+; ; ;+;+;+;+;174
+; ;+; ; ;+;+;+;+;169
 ;+;+; ; ;+;+;+;+;146
+;+;+; ; ;+;+;+;+;142
 ; ; ;+; ;+;+;+;+;1258
+; ; ;+; ;+;+;+;+;1254
 ;+; ;+; ;+;+;+;+;863
+;+; ;+; ;+;+;+;+;861
 ; ;+;+; ;+;+;+;+;130
+; ;+;+; ;+;+;+;+;129
 ;+;+;+; ;+;+;+;+;112
+;+;+;+; ;+;+;+;+;111
 ; ; ; ;+;+;+;+;+;113
+; ; ; ;+;+;+;+;+;109
 ;+; ; ;+;+;+;+;+;99
+;+; ; ;+;+;+;+;+;95
 ; ;+; ;+;+;+;+;+;109
+; ;+; ;+;+;+;+;+;106
 ;+;+; ;+;+;+;+;+;95
+;+;+; ;+;+;+;+;+;92
 ; ; ;+;+;+;+;+;+;88
+; ; ;+;+;+;+;+;+;87
 ;+; ;+;+;+;+;+;+;78
+;+; ;+;+;+;+;+;+;77
 ; ;+;+;+;+;+;+;+;85
+; ;+;+;+;+;+;+;+;84
 ;+;+;+;+;+;+;+;+;75
+;+;+;+;+;+;+;+;+;74
